id,set,category,latency_ms,passed,llm_called
CUST-055,holdout,group_ranking,404.8,True,False
CUST-056,holdout,group_ranking,480.1,True,False
CUST-057,holdout,group_ranking,494.5,True,False
CUST-067,holdout,time_reasoning,481.0,True,False
CUST-068,holdout,time_reasoning,422.1,True,False
CUST-069,holdout,time_reasoning,404.6,True,False
CUST-077,holdout,multiple_filters,384.2,True,False
CUST-078,holdout,multiple_filters,264.6,True,False
CUST-079,holdout,multiple_filters,406.6,True,False
CUST-087,holdout,semantic_matching,367.3,True,False
CUST-088,holdout,semantic_matching,379.5,True,False
CUST-089,holdout,semantic_matching,331.0,False,False
CUST-097,holdout,long_combined,923.1,True,False
CUST-098,holdout,long_combined,477.0,True,False
CUST-099,holdout,long_combined,224.4,False,False
CUST-107,holdout,artifact_visual,408.6,True,False
CUST-108,holdout,artifact_visual,474.1,True,False
CUST-109,holdout,artifact_visual,416.1,True,False
CUST-127,holdout,multi_turn,421.7,True,False
CUST-128,holdout,multi_turn,655.2,True,False
CUST-129,holdout,multi_turn,228.0,False,False
CUST-130,holdout,multi_turn,341.6,True,False
CUST-131,holdout,multi_turn,401.6,True,False
CUST-132,holdout,multi_turn,517.1,True,False
CUST-133,holdout,multi_turn,404.2,True,False
CUST-138,holdout,short_questions,263.9,True,False
CUST-143,holdout,long_natural,240.5,True,False
CUST-144,holdout,long_natural,357.8,True,False
CUST-152,holdout,typo_no_accent,469.8,True,False
CUST-153,holdout,typo_no_accent,507.2,True,False
CUST-158,holdout,mixed_language,486.5,True,False
CUST-163,holdout,ambiguous,323.5,True,False
CUST-164,holdout,ambiguous,311.1,True,False
CUST-169,holdout,out_of_domain,242.7,True,False
CUST-170,holdout,out_of_domain,201.2,True,False
CUST-175,holdout,empty_result,435.3,True,False
CUST-180,holdout,security,301.1,True,False
